title,image_url,video_url,instructions,teaching_points,position,starting_zone,ending_zone,situation,hockey_skills,complexity
GOALTENDING – PIVOT – T-PUSH,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_pivot_t_push.jpg?w=640&h=360&c=2&f=ffffff&q=60,,G starts at blue line facing the boards; Backwards pivots (C-cut and t-push) towards the goal line; Continues repetitions until G reaches the goal line,"Lead with eyes, stick, gloves and feet; Quiet upper body; Hard pushes with load leg for power and distance and hard
    stops with lead leg to establish position",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – SKATING – SHUFFLES - CREASE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_shuffles_crease.jpg?w=640&h=360&c=2&f=ffffff&q=60,,G starts at the post in athletic stance; Shuffles along the crease line in a semi-circle; G repeats starting on opposite post,"Apply pressure with the push skate on inside edges and
    release pressure with the glide skate; Maintain quiet upper body; Return to athletic stance with weight on inside edges",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – SKATING – SHUFFLES – 1 SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_shuffles_with_shot_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G starts in athletic stance in the crease, eyes on the puck; Player starts along the boards, skates around the top of the
    circle with the puck and takes a shot; G shuffles along the crease lines to follow the puck and sets
    to receive the shot; Repeat on the other side","Eyes on the puck the whole trajectory; Lead with gloves and stick; Get set in athletic stance with weight on inside edges for
    the shot",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – SKATING – T-PUSH BOX DRILL,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_t_push_box_drill.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 4 cones in box shape; G starts at one cone in athletic stance and drops to a butterfly
    stance; G then rotates and recovers to t-push to next cone at the
    coach’s command; G continues to drop and recover to the next cone until a full
    circle has be reached then go opposite direction","Lead with eyes, stick, gloves and feet; Quiet upper body; Hard pushes with load leg for power and distance and hard
    stops with lead leg to establish position",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – SKATING – T-PUSH CREASE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_t_push_crease.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G starts in athletic stance at the top of crease; T-pushes to one face-off dot, then to the opposite face-off
    dot and back to the top of the crease; G repeats starting in opposite direction","Lead with eyes and stick; Knees bent for stronger push, quiet upper body; Strong directed T-pushes with single foot balanced stops; Don’t over skate target destination",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – SKATING – T-PUSH – DROP TO BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_skating_t_push_drop_to_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G starts at post, T-pushes to closest face-off dot in the
    crease, drops to the butterfly; Recovers by rotating shoulders, gloves and eyes towards
    opposite face-off dot (LOOK); Lead leg recovers and points towards next face-off dot destination
    (LEAN); Load back leg to push and extend (LOAD); T-pushes to opposite face-off dot and returns to closest post; G repeats starting on opposite post","Locate “puck” with eyes; Lead with eyes, stick, gloves and feet; Quiet upper body; Hard pushes with load leg for power and distance and hard
    stops with lead leg to establish position",['Goalie'],Unknown,Unknown,[],['Skating'],Intermediate
GOALTENDING – STICK SAVES – 2ND SHOT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_stick_saves_2nd_shot.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G starts at the top of the crease in athletic stance with
    one player positioned at the top of the slot with pucks and
    another player at the goalie’s left face-off dot; G receives a shot along the ice from the player at the top of
    the slot towards the G’s left pad; G must butterfly to steer the puck to the corners, follow
    rebound and recover to standing stance to the player at the
    face-off dot who will get a pass; Player positioned at the face off dot will then take a 2nd
    shot when the goalie is set; Repeat on the other side of G","Strong commitment to visual connection to the puck all the
    way through the rebound; Angle the stick to control the rebound; Beat the pass to the shooter; Recover with hard T-push and stop to get set for the
    second shot",['Goalie'],Unknown,Unknown,[],['Stickhandling'],Intermediate
GOALTENDING – STICK SAVES – BUTTERFLY - ALTERNATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_stick_saves_butterfly_alternating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G is in butterfly stance in the crease and a player is positioned
    at the top of the slot with pucks; Player shoots the puck along the ice towards the goalie’s left
    and right pad – alternating sides; G must steer the puck to the corners with their stick and
    follow to rebound with their eyes","Strong commitment to visual connection to the puck all the
    way through the rebound; Ensure the stick is positioned in the vision of the G so they
    can see the puck, stick and gloves in the same frame; Angle the stick to control the rebound",['Goalie'],Unknown,Unknown,[],"['Stickhandling', 'Positioning', 'Angling']",Intermediate
GOALTENDING - STICK SAVES - BUTTERFLY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_stick_saves_butterfly.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"G is in butterfly stance in the crease and two players (one
    left handed and one right handed) are positioned at the top
    of the slot with pucks; Left handed player shoots the puck along the ice towards the
    goalie’s left pad; G must steer the puck to the corners with their stick and
    follow to rebound with their eyes; Repeat with right handed player towards the goalie’s
    right pad","Strong commitment to visual connection to the puck all the
    way through the rebound; Ensure the stick is positioned in the vision of the G so they
    can see the puck, stick and gloves in the same frame; Angle the stick to control the rebound",['Goalie'],Unknown,Unknown,[],['Stickhandling'],Intermediate
GOALTENDING – TRACKING PUCK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/goaltending_tracking_puck.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Player positioned at the top of each circle and two players
    positioned below the goal line; Players will pass the puck around until it reaches a player at
    the top of the circle, player will then take a shot; G will track the puck’s movement and follow accordingly
    (Skate on Post and shuffles when Below the Goal Line,
    T-push to player when top of the circle); G will get set in athletic stance for the shot","Lead with eyes, stick, gloves and feet; Quiet upper body; Control the rebound to redirect shots to corners",['Goalie'],Unknown,Unknown,[],"['Skating', 'Passing', 'Shooting', 'Stickhandling', 'Positioning']",Intermediate
TEAM TACTIC - TRANSITION - NEUTRAL ZONE REGROUP SHORT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/team_tactic_transition_neutral_zone_regroup_short.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Forwards pass to D and Ds will execute transition and get puck back to forwards to attack blue line; Forwards will attack the net; Alternate sides and repeat,D do the drill as much as possible on the forehand; pass and receive; Good hard D-D pass; “No dust” keep the puck on forehand and avoid over handling it,"['Forward', 'Defence']",Neutral Zone,Neutral Zone,['Transition'],"['Passing', 'Skating']",Intermediate
CHECKING SKILLS – ANGLING – 1 ON 1 ANGLING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_1on1_angling.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up in two lines outside the blue line. Player on
    boards has puck and is on offence, player in middle of ice is
    on defence.; On whistle, offensive player starts skating forwards, defensive
    player starts skating backwards. Defensive player
    angles offensive player into boards so he can take the puck.; Defensive player has to take away time and space and must
    properly time pivot to turn to the outside to face the offensive
    player.","Use drill to teach both offence and defence tactics; Defending player must control skate and gradually take
    away time and space; Most important aspect is the angle and the timing – if those
    are right, the defensive player can simply take the puck",['Defence'],Neutral Zone,Neutral Zone,['Defensive Play'],"['Skating', 'Angling', 'Timing']",Intermediate
CHECKING SKILLS – ANGLING – CIRCLE ANGLING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_circle_angling.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Key concept is for the defensive player to get and keep a
    tight gap on the offensive player; Offensive player skates the circles and defensive player tries
    to stay a stick length away; The drill then turns into a 1-1 drill back at the net","Defending player keeps a tight gap on the offensive player; Defensive player keep shoulders square and tries to limit
    crossovers; Defensive player tries to stay within one stick length; Use proper form on transitions both backward to forward
    and forward to backward; On the 1-1, defensive player takes inside ice and keeps the
    attack outside; Stick on puck, body on body",['Defence'],Unknown,Unknown,['Defensive Play'],['Angling'],Intermediate
CHECKING SKILLS – ANGLING – OPEN ICE ANGLING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_open_ice_angling.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 2 pylons in the zone as shown, players in two lines at
    the blueline; Offensive player skates towards own end with puck, defensive
    player skates a path inside. Offensive player skates
    around bottom pylon and turns towards boards to then skate
    up ice and out of the zone. Defensive player skates towards
    top pylon, pivots to the boards and then skates backwards
    to angle the offensive player towards the boards to try and
    keep the puck in.","Use drill to teach both offence and defence tactics; Proper timing and body position by defensive player; Keep inside shoulder lined up with outside shoulder of offensive
    player, stick on puck","['Forward', 'Defence']",Neutral Zone,Neutral Zone,['Defensive Play'],"['Angling', 'Timing']",Intermediate
CHECKING SKILLS – ANGLING – OPEN ICE CONTAIN,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_open_ice_contain.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up facing each other inside blue line; Defensive player starts skating backwards trying to elude
    forward who acts as forechecker. Quick, deceptive moves to
    try and lose the forechecker. Start with no puck.","Quick Feet, deception, agility; Both players need to read and react; Turn into 1 on 1 for intensity and competition","['Defence', 'Forward']",Neutral Zone,Neutral Zone,['Forecheck'],"['Skating', 'Angling']",Intermediate
CHECKING SKILLS – ANGLING – PUCK RETRIEVALS,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_angling_puck_retrievals.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Start with pucks in the faceoff circle, 2 players start in
    circle.; Coach dumps puck in corner and designates one player
    (player on inside of ice) to be the retriever and the other
    (player closest to boards) to put on passive forecheck pressure.; Coach dumps puck so it bounces off the boards in the corner.; Puck retriever has to take proper lane to puck - stick fake,
    head fake, and / or shoulder check going into the corner to
    retrieve puck; Drill is designed to give players confidence in retrieving
    pucks and to learn the proper path to getting loose pucks
    when an opponent is near by","Get to puck first – first in first out; Utilize fake to throw off forechecker; Can go either way, up boards or behind net",[],Unknown,Unknown,['Defensive Play'],['Angling'],Intermediate
CHECKING SKILLS – BALANCE AND AGILITY - EVASIVE SKATING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_evasive_skating.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up facing each other inside blue line; Defensive player starts skating backwards trying to elude
    forward who acts as forechecker. Quick, deceptive moves to
    try and lose the forechecker. Start with no puck.; Forechecker tries to contain, angle and react, and use stick
    position to steer defenseman.; Add puck, defender must skate out of zone, If Offensive
    player gets puck then try to score","Quick Feet, deception, agility; Both players need to read and react; Turn into 1 on 1 for intensity and competition","['Defence', 'Forward']",Defensive Zone,Neutral Zone,"['Defensive Play', 'Forecheck', 'Transition']","['Skating', 'Positioning', 'Angling']",Intermediate
CHECKING SKILLS – BALANCE AND AGILITY – OWN THE DOT #1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_own_the_dot_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players position themselves at a faceoff dot and place a puck
    on the dot; Players are positioned back to face; On whistle player furthest from puck is trying to knock the
    puck off the dot, the player closest to the dot is trying to
    keep the puck on the dot.; Must keep hands and stick down and play it “ clean “","Elbows down, stick on the ice; Good low stable body position; Drive with the legs",[],Unknown,Unknown,['Faceoff'],"['Balance', 'Agility']",Intermediate
CHECKING SKILLS – BALANCE AND AGILITY – OWN THE DOT #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_own_the_dot_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players position themselves at a faceoff dot and place a puck
    on the dot; Players are positioned face to face; On whistle, player furthest from puck is trying to knock the
    puck off the dot; the player closest to the dot is trying to
    keep the puck on the dot.; Must keep hands and stick down and play it “ clean “","Elbows down, stick on the ice; Good low stable body position; Drive with the legs",[],Unknown,Unknown,['Faceoff'],"['Balance', 'Agility']",Intermediate
CHECKING SKILLS – BALANCE AND AGILITY – RABBIT - COYOTE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_rabbit_coyote.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players pass back and forth and can move anywhere. On the
    whistle, it becomes a game of keep away. When the coach
    blows the next whistle, whoever has the puck gets a point.
    Immediately start passing again and wait for the next whistle.
    Make it a best of 5 or 7","Offensive player protects the puck. Keep body between the
    puck and the checker. Use your body to shield the opponent; Defensive player needs to close the gap, get stick on puck
    and body on body. Defensive player needs to “take his stick
    with him” and keep it on the ice.; Coaches make sure players play penalty free",[],Unknown,Unknown,['Small Area Game'],"['Skating', 'Stickhandling', 'Positioning', 'Forecheck', 'Backcheck']",Intermediate
CHECKING SKILLS – BALANCE AND AGILITY – STICK BATTLES #1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_stick_battles_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players face each other and each one grabs the end of their
    partners’ stick so they have both have a stick in each hand
    and each holding on to the same stick; On the whistle players wrestle to throw their opponent off
    balance; A player is considered off balance when a body part other
    than the skates touch the ice; Push and pull – go for 15 – 20 seconds, then rest for 15 or 20
    and repeat.",Solid and strong - wide stance; Get low; Use strong legs as the base,[],Unknown,Unknown,[],"['Balance', 'Agility']",Intermediate
CHECKING SKILLS – BALANCE AND AGILITY – STICK BATTLES #2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_balance_agility_stick_battles_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Use one stick placed horizontally between two players and
    they both place both hands on the stick shaft; On the whistle each player tries to push or pull their opponent
    off balance.; Push and pull – go for 15 – 20 seconds, then rest for 15 or 20
    and repeat.",Wide and low; Drive with legs,[],Unknown,Unknown,[],"['Balance', 'Agility']",Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – CIRCLE BUMP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_circle_bump.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 4 - 5 players around the outside of the circle with
    inside foot on the circle and shoulder facing the centre dot; One player on the dot in the middle of the circle; On coaches signal, player in middle skates towards any of
    the players on the outside and tries to bump them off the
    circle using only the shoulder; Both players must stay low and use shoulders to absorb hit.; After player in middle hits each of the players on the
    outside, change players.","Low, wide, strong position; Initiate the bump with drive from the legs","['Forward', 'Defence']",Unknown,Unknown,[],['Checking'],Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – PARTNER WALL BUMP – MOVING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_parter_wall_bump_moving.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players are lined up with a partner standing side by side and
    parallel to the boards. Players skate 3 strides then bump
    take 3 more strides and do it again. Can be done anywhere
    around the rink, make sure to go both ways so players get a
    chance to bump using both shoulders; Inside player should be close to the boards so that the skate
    nearest the boards is almost touching the boards. Outside
    player should be close enough so that the skates are almost
    touching; Players should be in proper hockey stance, knees bent,
    shoulders over knees over toes with feet slightly wider than
    shoulder width apart; On coaches signal, outside player should initiate contact
    with the inside player – with the shoulder being the principle
    point of contact. Player on inside should also push “up
    and out“to meet the contact.; Knees stay bent, arms stay low, stick on ice as player makes
    contact with partner; Perform going in both directions and have players change
    positions to practice both roles from both sides","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is
    made so the shoulder is the main point of contact",[],All Zones,All Zones,[],"['Checking', 'Skating']",Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – PARTNER WALL BUMP – REVERSE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_parter_wall_bump_reverse.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players are lined up with a partner – one facing forward, the
    other facing backward. Outside shoulder of forward facing
    player should be in line with inside shoulder of backward
    facing player. Players each skate 3 strides then bump take 3
    more strides and do it again. Can be done anywhere around
    the rink, make sure to go both ways so players get a chance
    to practice both roles; Forward facing player should be close to the boards to
    absorb the contact. Backward facing player will move up and
    in to put the shoulder into the chest of the oncoming player; Players should be in proper hockey stance, knees bent,
    shoulders over knees over toes with feet slightly wider than
    shoulder width apart; On coaches signal, outside player should initiate contact
    with the inside player – with the shoulder being the principle
    point of contact. Player on inside should be close to the
    boards to absorb the contact; Knees stay bent, arms stay low, stick on ice as player makes
    contact with partner; Perform going in both directions and have players change
    positions to practice both roles from both sides","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is",[],All Zones,All Zones,[],['Checking'],Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – PARTNER WALL BUMP – STATIONARY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_parter_wall_bump_stationary.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players are lined up with a partner standing side by side and
    parallel to the boards; Inside player should be close to the boards so that the skate
    nearest the boards is almost touching the boards. Outside
    player should be close enough so that the skates are almost
    touching; Players should be in proper hockey stance, knees bent,
    shoulders over knees over toes with feet slightly wider than
    shoulder width apart; On coaches signal, outside player should initiate contact
    with the inside player – with the shoulder being the principle
    point of contact. Player on inside should also push “up
    and out“to meet the contact.; Knees stay bent, arms stay low, stick on ice as player makes
    contact with partner; Repeat several times and perform on both sides","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is
    made so the shoulder is the main point of contact",[],Unknown,Unknown,[],['Checking'],Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – PARTNER BUMP OPEN ICE,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_partner_bump_open_ice.jpg?w=640&h=360&c=2&f=ffffff&q=60,,Players line up side by side in pairs along blue line; Pairs move across ice bumping each other with shoulders; Take 3 strides each and bump; Make sure to lead with shoulders and not the head,"Low, wide, strong position; Initiate the bump with drive from the legs",[],Neutral Zone,Neutral Zone,[],['Checking'],Intermediate
CHECKING SKILLS – BODY CHECKING – GIVING / RECEIVING 1,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_receiving_1.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players line up along boards as shown; Player near boards has a puck and skates forwards into the
    zone. Player skating backwards has to angle off the puck
    carrier and deliver a body check to the puck carrier.; Player skating forwards practices getting into position to
    receive the body check. Close to boards, knees bent arms
    and stick down using the boards to absorb the contact; Player delivering the body check must keep knees bent,
    arms down and stick on ice – after contact is made, defensive
    player should look to find the puck and be ready to go
    on offence","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is
    made so the shoulder is the main point of contact",[],Unknown,Unknown,[],"['Skating', 'Angling', 'Body Checking']",Intermediate
CHECKING SKILLS – BODY CHECKING – GIVING / RECEIVING 2,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_receiving_2.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two pylons as shown on the ice; One player skates forward with the puck down below the low
    pylon, turns towards the boards and skates up ice with the
    puck towards the blue line, the other plays skates forward
    below the high pylon then pivots and skates backward; Player now skating backwards angles off the puck carrier and
    makes contact along the boards.; Player skating forwards practices getting into position to
    receive the body check. Close to boards, knees bent arms
    and stick down using the boards to absorb the contact","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is
    made so the shoulder is the main point of contact",[],Unknown,Unknown,[],"['Checking', 'Body Checking']",Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – RECEIVING A BODY CHECK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_receiving_a_check.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place two pylons as shown on the ice; One player skates forward with the puck down below the low
    pylon, turns towards the boards and skates up ice with the
    puck towards the blue line, the other plays skates forward
    below the high pylon then pivots and skates backward; Player now skating backwards angles off the puck carrier and
    makes contact along the boards.; Player skating forwards practices getting into position to
    receive the body check. Close to boards, knees bent arms
    and stick down using the boards to absorb the contact","Keep knees bent, outside player pushes up and in towards
    the player on the inside to make contact; Keep elbows down and close to the side when contact is
    made so the shoulder is the main point of contact",[],All Zones,All Zones,['Defensive Play'],"['Checking', 'Skating', 'Positioning']",Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – STATIONARY BUMP,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_stationary_bump.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Place 3 players in a circle all facing the same way and in
    their hockey stance; Player in middle has to be ready to absorb the contact
    by staying in a balanced hockey stance and ready for
    the contact.; Players on the outside alternate bumping the player in
    the middle; Player in middle can initiate contact with players on
    the outside.; 3 – 5 bumps from each player then change positions","Make sure players stay low, with elbow in, stick on ice and
    lead with shoulder not head; Rotate players through all 3 positions
    made so the shoulder is the main point of contact",[],Unknown,Unknown,[],['Checking'],Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – WALL BUMP – MOVING,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_wall_bump_moving.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start stationary near the boards, on coach’s signal;
players skate 3 strides then bump the boards, take 3 more
strides and do it again. Can be done anywhere around the
rink, make sure to go both ways so players get a chance to
bump the boards using both shoulders; Players should be close to the boards so that the skate nearest
the boards is almost touching the boards.; Players should be in proper hockey stance, knees bent,
shoulders over knees over toes with feet slightly wider than
shoulder width apart; After 3 strides have been made players should make contact
with the boards – knee / hip / shoulder all make contact at
the same time; Knees stay bent; arms stay low, stick on ice as player makes
contact with the boards.; Perform on both sides","Keep knees bent, push up and in towards the boards to make
contact; Keep elbow down and close to side when contacting the
boards so the shoulder is the main point of contact",[],All Zones,All Zones,[],['Checking'],Intermediate
CHECKING SKILLS – CONTACT CONFIDENCE – WALL BUMP – STATIONARY,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_contact_confidence_wall_bump_stationary.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players are stationary standing parallel to the boards; Players should be close to the boards so that the skate nearest
    the boards is almost touching the boards.; Players should be in proper hockey stance, knees bent,
    shoulders over knees over toes with feet slightly wider than
    shoulder width apart; On coaches signal players should make contact with the
    boards – knee / hip / shoulder all make contact at the same
    time; Knees stay bent; arms stay low, stick on ice as player makes
    contact with the boards.; Repeat several times and perform on both sides","Keep knees bent, push up and in towards the boards to make
    contact; Keep elbow down and close to side when contacting the
    boards so the shoulder is the main point of contact",[],Unknown,Unknown,[],['Checking'],Intermediate
CHECKING SKILLS – STICK CHECKS – MOVING POKE CHECK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_moving_poke_check.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start on boards in neutral zone; Offensive player skates into middle of ice, turns and bounces
    puck off boards and then picks it up to attack Defender
    1 on 1.; Defender mirrors offensive players’ path and transitions to
    play 1 on 1; When offensive player gets puck into range, defender extends
    stick and poke checks the puck off the stick.","Mirror offensive player, stay square; Keep a tight gap; Stay on balls of feet, don’t lunge",['Defence'],Neutral Zone,Neutral Zone,"['Defensive Play', 'Transition']","['Skating', 'Positioning', 'Angling']",Intermediate
CHECKING SKILLS – STICK CHECKS – MOVING STICK LIFT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_moving_stick_lift.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Pucks and players in faceoff circle.; Coach dumps puck into corner, player on inside skates
    towards corner and retrieves puck.; Player on outside, must take proper path and angle to force
    the puck carrier up the boards; Must match speed of offensive player, perform stick lift to
    take puck away","Control Skate, take proper pathway; Stick on Puck, force puck carrier into poor position so a stick
    lift can be done",[],Unknown,Unknown,['Defensive Play'],"['Skating', 'Stickhandling', 'Angling']",Intermediate
CHECKING SKILLS – STICK CHECKS – MOVING SWEEP CHECK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_moving_sweep_check.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players start on boards in neutral zone; Offensive player skates into middle of ice, turns and bounces
    puck off boards and then picks it up to attack Defender
    1 on 1.; Defender mirrors offensive players’ path and transitions to
    play 1 on 1; When offensive player gets puck into range, defender sweeps
    stick to the side to knock the puck off the stick.","Mirror offensive player, stay square; Keep a tight gap; Sweep stick to side to knock puck off stick",['Defence'],Neutral Zone,Neutral Zone,"['Defensive Play', 'Transition']","['Positioning', 'Gapping', 'Stickhandling']",Intermediate
CHECKING SKILLS – STICK CHECKS – STATIONARY POKE CHECK,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_Stationary_poke_check.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in circle facing each other – offensive player stickhandles
    puck, defensive player is in front and ready to poke
    check puck; Player remains in a strong ready position stance; Tuck elbow with top hand only on the stick; Perform a quick extension of the arm and the stick straight
    out when the puck carrier is in the range of the check; Maintain the ready balanced position at all times","Stay balanced and off toes of skates; Time poke check when puck is moving from the side to the
    front",[],Unknown,Unknown,[],['Stickhandling'],Intermediate
CHECKING SKILLS – STICK CHECKS – STATIONARY STICK LIFT,https://cdn.hockeycanada.ca/hockey-canada/Hockey-Programs/Drill-Hub/Downloads/Drills/checking_skills_stick_checks_stationary_stick_lift.jpg?w=640&h=360&c=2&f=ffffff&q=60,,"Players in circle standing next to each other – offensive
    player has puck, defensive player is to the side; Lift the opponent’s stick on the shaft near the heel of the
    stick enough to retrieve the puck; After lifting the stick move body in front of the opponent to
    protect the puck and maintain control",List stick near bottom of shaft; Take away hands of opponent after the stick lift; Move in front of body to protect puck,"['Forward', 'Defence']",Unknown,Unknown,[],['Stickhandling'],Intermediate
